CODMUNI;ID;MUNIC;AREA;INDICE94;INDICE95;GINI_91;POP_94;POP_RUR;POP_URB;POP_FEM;POP_MAS;POP_TOT;URBLEVEL;PIB_PC;X_COORD;Y_COORD
10;0;Abadia dos Dourados;         897.4;              11.22;              17.28;             0.5372;6291;2980;3512;3146;3346;6492;          0.541;3649;-4.749.321;-1.837.060
20;1;Abaeté;        1822.4;              32.88;              36.57;             0.6034;21257;4745;15944;10390;10299;20689;          0.771;4124;-4.538.105;-1.909.786
30;2;Abre-Campo;         636.4;               4.47;               7.46;             0.5643;19106;13191;5770;9331;9630;18961;          0.304;2147;-4.243.796;-2.036.600
40;3;Acaiaca;         101.2;               9.20;              10.15;             0.5069;3679;1679;1910;1793;1796;3589;          0.532;1720;-4.310.176;-2.040.832
50;4;Açucena;        1172.2;               8.90;              10.41;             0.5163;24318;10784;14065;12441;12408;24849;          0.566;1569;-4.240.581;-1.908.302
60;5;Água Boa;        1321.9;               7.60;              11.89;             0.5796;15340;12956;2813;7849;7920;15769;          0.178;1662;-4.227.959;-1.802.296
70;6;Água Comprida;         491.0;              23.61;              31.72;             0.4236;1740;779;1029;869;939;1808;          0.569;10650;-4.809.214;-2.000.142
80;7;Aguanil;         235.8;              21.11;              17.35;             0.4558;3223;1828;1369;1507;1690;3197;          0.428;2003;-4.544.244;-2.098.235
90;8;Águas Formosas;        1792.8;              18.60;              22.50;             0.5990;22062;10345;11811;11027;11129;22156;          0.533;1404;-4.096.760;-1.714.330
100;9;Águas Vermelhas;        1953.4;               6.02;               7.23;             0.4519;20296;9434;9751;9513;9672;19185;          0.508;1773;-4.163.569;-1.574.333
110;10;Aimorés;        1353.4;              13.04;              16.44;             0.5838;25875;8358;18082;13483;12957;26440;          0.684;2966;-4.119.622;-1.966.782
120;11;Aiuruoca;         651.8;               7.64;               7.11;             0.6062;6411;4091;2525;3138;3478;6616;          0.382;2449;-4.466.089;-2.195.826
130;12;Alagoa;         162.0;              23.97;              12.05;             0.6445;2652;1881;875;1313;1443;2756;          0.317;2553;-4.468.020;-2.218.779
140;13;Albertina;          57.7;              15.29;              25.17;             0.4366;2612;1366;1120;1141;1345;2486;          0.451;6103;-4.662.777;-2.221.107
150;14;Além Paraíba;         512.5;              10.03;              12.93;             0.5892;31782;4071;26861;16039;14893;30932;          0.868;2898;-4.275.312;-2.183.700
160;15;Alfenas;         849.2;              26.33;              28.60;             0.6006;55752;5375;47325;26594;26106;52700;          0.898;4225;-4.601.826;-2.138.052
163;16;Alfredo Vasconcelos;         122.9;               8.78;              10.71;             0.0000;4863;0;0;0;0;0;          0.000;1548;-4.372.144;-2.114.395
170;17;Almenara;        2308.6;              22.09;              21.93;             0.5983;34617;13066;32350;22767;22649;45416;          0.712;1456;-4.071.614;-1.612.259
