c1;c2;c3;c4;c5;c6;c7;c8;c9;c10;c11;c12;c13;c14;c15;c16;c17;c18;c19;c20;c21;c22;c23;c24;c25;c26;c27;c28;c29;c30;c31
;A-B, ;A-C, ;;;;;;A-I, ;A-J, ;;;;A-N, ;A-O, ;A-P, ;;;;A-T, ;A-U, ;;A-W, ;A-X, ;A-Z, ;;A-AB, ;A-AC, ;A-AD, ;;A-AF, 
B-A, ;;B-C, ;;;;;;;B-J, ;;B-L, ;B-M, ;;B-O, ;B-P, ;;;;;;B-V, ;B-W, ;B-X, ;B-Z, ;;B-AB, ;B-AC, ;B-AD, ;B-AE, ;B-AF, 
C-A, ;C-B, ;;C-D, ;;;;;C-I, ;;;;C-M, ;C-N, ;;;C-Q, ;;;;C-U, ;;C-W, ;;;C-AA, ;C-AB, ;C-AC, ;C-AD, ;C-AE, ;C-AF, 
;;D-C, ;;D-E, ;D-F, ;D-G, ;D-H, ;D-I, ;D-J, ;;D-L, ;;;D-O, ;D-P, ;;;;;;D-V, ;;D-X, ;;D-AA, ;;D-AC, ;D-AD, ;D-AE, ;D-AF, 
;;;E-D, ;;E-F, ;;;;E-J, ;;;;;;E-P, ;;;;;E-U, ;;;E-X, ;E-Z, ;;;E-AC, ;E-AD, ;E-AE, ;
;;;F-D, ;F-E, ;;;F-H, ;F-I, ;F-J, ;;F-L, ;;;;;F-Q, ;;;;;F-V, ;;;F-Z, ;;;F-AC, ;F-AD, ;;
;;;G-D, ;;;;G-H, ;G-I, ;;;;;;;;G-Q, ;;;;G-U, ;;;;;G-AA, ;G-AB, ;;;;G-AF, 
;;;H-D, ;;H-F, ;H-G, ;;;H-J, ;H-K, ;H-L, ;;;;;;H-R, ;;H-T, ;;H-V, ;;;;H-AA, ;H-AB, ;H-AC, ;H-AD, ;H-AE, ;H-AF, 
I-A, ;;I-C, ;I-D, ;;I-F, ;I-G, ;;;I-J, ;;I-L, ;I-M, ;;I-O, ;;I-Q, ;;I-S, ;I-T, ;I-U, ;;I-W, ;;I-Z, ;;I-AB, ;I-AC, ;I-AD, ;I-AE, ;I-AF, 
J-A, ;J-B, ;;J-D, ;J-E, ;J-F, ;;J-H, ;J-I, ;;;J-L, ;J-M, ;J-N, ;;;J-Q, ;;;J-T, ;;J-V, ;J-W, ;;J-Z, ;;J-AB, ;J-AC, ;J-AD, ;J-AE, ;J-AF, 
;;;;;;;K-H, ;;;;;;;;;K-Q, ;;;;K-U, ;;;;;K-AA, ;;K-AC, ;K-AD, ;K-AE, ;
;L-B, ;;L-D, ;;L-F, ;;L-H, ;L-I, ;L-J, ;;;;L-N, ;;;L-Q, ;;;;;L-V, ;L-W, ;;;L-AA, ;;L-AC, ;L-AD, ;;
;M-B, ;M-C, ;;;;;;M-I, ;M-J, ;;;;M-N, ;M-O, ;;M-Q, ;;;;M-U, ;;M-W, ;;M-Z, ;;;;;;M-AF, 
N-A, ;;N-C, ;;;;;;;N-J, ;;N-L, ;N-M, ;;N-O, ;;N-Q, ;;;;;N-V, ;N-W, ;;N-Z, ;;;N-AC, ;N-AD, ;N-AE, ;N-AF, 
